,행정구역,2016 급여총계 인원 (명),2016 급여총계 금액 (백만원),2016 과세대상근로소득(총급여) 인원 (명),2016 과세대상근로소득(총급여) 금액 (백만원),2017 급여총계 인원 (명),2017 급여총계 금액 (백만원),2017 과세대상근로소득(총급여) 인원 (명),2017 과세대상근로소득(총급여) 금액 (백만원),2018 급여총계 인원 (명),2018 급여총계 금액 (백만원),2018 과세대상근로소득(총급여) 인원 (명),2018 과세대상근로소득(총급여) 금액 (백만원),2019 급여총계 인원 (명),2019 급여총계 금액 (백만원),2019 과세대상근로소득(총급여) 인원 (명),2019 과세대상근로소득(총급여) 금액 (백만원)
83,강원춘천시,89168,2789301,88894,2773482,91628,2997277,91393,2981166,94946,3225268,94650,3207977,99263,3468477,98492,3449535
84,강원태백시,14301,485482,14283,475037,14190,487246,14131,477136,14187,502432,14146,492679,14158,514446,14125,505102
85,강원평창군,10392,286989,10365,285818,10356,296735,10287,295602,10991,322335,10850,320935,11146,336183,10855,334652
86,강원홍천군,17758,506072,17726,503420,18077,537900,17950,535071,18262,567410,18105,564122,19527,616392,19131,612430
87,강원화천군,8635,270089,8458,268633,8315,272125,8084,270973,8068,275497,7905,274031,8608,294009,8422,292514
88,강원횡성군,11196,297761,11110,295897,11759,328745,11701,326875,12062,349823,11982,348133,12407,371919,12277,370083
89,대전소계,510344,17239731,508431,17116295,513492,18001852,511401,17876619,527312,18965215,524796,18833973,543143,19967252,540311,19831575
90,대전대덕구,63619,1799223,63358,1788417,63060,1856372,62786,1846672,63656,1924661,63338,1914299,64126,2008626,63723,1998174
91,대전동구,70027,1844297,69783,1832866,70391,1938560,70046,1927792,73368,2098661,73000,2086325,73886,2187221,73428,2174947
92,대전서구,168537,5601023,167941,5564113,170449,5876253,169785,5839477,175343,6211535,174567,6172480,181012,6544804,180258,6505297
93,대전유성구,130367,5706405,129857,5656542,131984,5953730,131478,5899565,136053,6231575,135336,6176336,143730,6603505,142885,6544625
94,대전중구,77794,2288782,77492,2274356,77608,2376938,77306,2363113,78892,2498782,78555,2484533,80389,2623096,80017,2608531
95,충북소계,541801,16992137,538867,16887404,554127,18153871,550919,18055333,576365,19767930,573187,19660048,598668,21245307,594424,21135532
96,충북괴산군,9376,255165,9078,253439,9566,271894,9207,270312,9802,291662,9619,289984,10145,302544,9797,300533
97,충북단양군,7637,219082,7597,218053,7881,235306,7828,234292,7938,241878,7769,240755,8151,253589,7978,252337
98,충북보은군,8082,216295,8035,215050,7889,229385,7814,228322,8371,243539,8295,242335,8766,256171,8696,255107
99,충북영동군,12372,343485,12237,341412,12267,353206,12227,351381,12299,367873,12256,365702,12352,382836,12012,380372
100,충북옥천군,14000,370936,13955,368573,14176,394699,14127,392499,14352,421590,14233,419200,14796,447095,14475,444398
101,충북음성군,39281,1049535,39134,1040936,39804,1122035,39636,1114660,40809,1207414,40661,1199318,41551,1277337,41319,1269831
102,충북제천시,39636,1156405,39494,1149992,39824,1228746,39680,1222751,41359,1313201,41195,1306880,42278,1398072,41888,1390749
103,충북증평군,13432,394905,13287,391572,13522,415890,13382,412840,13746,445152,13688,441795,14332,470351,14199,466422
104,충북진천군,30791,858738,30305,851718,33260,991590,32771,984845,36095,1141878,35622,1134503,38125,1248511,37664,1240756
105,충북청주시,301955,10214780,300732,10157190,308558,10836096,307178,10781117,321706,11848642,320462,11787788,335500,12794089,334199,12733063
106,충북충주시,65239,1912810,65013,1899470,67380,2075025,67069,2062315,69888,2245101,69387,2231789,72672,2414711,72197,2401962
107,충남소계,693654,23088284,688838,22958927,708845,24891625,703858,24770191,732837,26478590,727653,26349648,755799,27671440,749241,27544099
108,충남계룡시,14644,614952,14613,607160,14671,642704,14633,635486,14739,666697,14699,659482,15329,693988,15256,688507
109,충남공주시,30353,876200,30119,871224,30857,945336,30609,940478,31715,988342,31552,983598,32319,1032997,32016,1027820
110,충남금산군,12232,335994,12141,334166,12279,348679,12201,346848,12679,371358,12583,369426,12988,393318,12888,391433
111,충남논산시,32241,870551,32109,863528,32557,917603,32411,910928,33360,990029,33183,982400,34018,1034538,33589,1027604
112,충남당진시,56891,1990227,56494,1981507,57959,2048715,57499,2040209,59565,2258880,59167,2250470,61268,2306354,60564,2297658
113,충남보령시,28583,852415,28341,845343,28942,890902,28746,884814,29342,949815,28994,943577,31056,1011389,30506,1004894
114,충남부여군,15843,422577,15706,420189,15891,440734,15784,438540,16195,457363,15728,454555,16198,475413,15828,472561
115,충남서산시,54155,2079224,53766,2067436,56097,2223965,55679,2213212,58470,2392346,58036,2381450,60931,2499509,60369,2489720
116,충남서천군,12428,362458,12376,360310,12221,369742,12173,367969,12063,385553,12019,383766,12387,402271,12178,400167
117,충남아산시,119789,4321241,119216,4301224,120935,4649850,120337,4631458,125439,4878239,125028,4859195,128723,5012543,128146,4992938
118,충남예산군,21388,576670,20859,572256,22024,618693,21283,614552,22559,667882,22012,663922,23117,703036,22576,699529
119,충남천안시,244323,8288006,242892,8246262,253009,9207333,251660,9167589,263292,9761768,261851,9716972,272761,10302347,271579,10256880
120,충남청양군,7176,202238,7151,201495,7427,214388,7399,213647,7803,229246,7768,228531,7610,235160,7455,234210
